continent,country,position,positionlabel,officeholder,officeholderlabel,start_year,end_year
Africa,Tunisia,Q1064106,Prime Minister of Tunisia,Q108741355,Najla Bouden,2021,
Africa,Uganda,Q18204367,President of Uganda,Q57274,Yoweri Museveni,1986,
Africa,Uganda,Q2462330,Prime Minister of Uganda,Q62481397,Robinah Nabbanja,2021,
Africa,Zambia,Q18985034,President of Zambia,Q717185,Hakainde Hichilema,2021,
Africa,Zimbabwe,Q19056184,President of Zimbabwe,Q510523,Emmerson Mnangagwa,2017,
Asia,Afghanistan,Q108130107,Leader of the Islamic Emirate of Afghanistan,Q24237654,Hibatullah Akhundzada,2021,
Asia,Afghanistan,Q532240,Prime Minister of Afghanistan,Q108444479,Mohammad Hassan Akhund,2021,
Asia,Bahrain,Q726872,King of Bahrain,Q57352,Hamad bin Isa Al Khalifa,1999,
Asia,Bahrain,Q58150,Prime Minister of Bahrain,Q58140,"Salman, Crown Prince of Bahrain",2020,
Asia,Bangladesh,Q596123,President of Bangladesh,Q3246667,Abdul Hamid (politician),2013,
Asia,Bangladesh,Q14565638,Prime Minister of Bangladesh,Q52183,Sheikh Hasina,2009,
Asia,Bhutan,Q1261215,Druk Gyalpo,Q57376,Jigme Khesar Namgyel Wangchuck,2006,
Asia,Bhutan,Q30133341,Prime Minister of Bhutan,Q57313851,Lotay Tshering,2018,
Asia,Brunei,Q1451936,Sultan of Brunei,Q57327,Hassanal Bolkiah,1967,
Asia,Brunei,Q3245472,Prime Minister of Brunei,Q57327,Hassanal Bolkiah,1984,
Asia,Cambodia,Q110376967,King of Cambodia,Q57319,Norodom Sihamoni,2004,
Asia,Cambodia,Q1999325,Prime Minister of Cambodia,Q57788,Hun Sen,1985,
Asia,China (People's Republic of China),Q849418,General Secretary of the Chinese Communist Party,Q15031,Xi Jinping,2012,
Asia,China (People's Republic of China),Q655407,President of the People's Republic of China,Q15031,Xi Jinping,2013,
Asia,China (People's Republic of China),Q4122271,Premier of the People's Republic of China,Q18111,Li Keqiang,2013,
Asia,East Timor,Q586047,President of East Timor,Q897790,Francisco Guterres,2017,
Asia,East Timor,Q978708,Prime Minister of East Timor,Q57519,Taur Matan Ruak,2018,
Asia,India,Q313383,President of India,Q16845347,Ram Nath Kovind,2017,
Asia,India,Q192711,Prime Minister of India,Q1058,Narendra Modi,2014,
Asia,Indonesia,Q11755916,President of Indonesia,Q3318231,Joko Widodo,2014,
Asia,Iran,Q332486,Supreme Leader of Iran,Q57336,Ali Khamenei,1989,
Asia,Iran,Q838380,President of Iran,Q5947347,Ebrahim Raisi,2021,
Asia,Iraq,Q889817,President of Iraq,Q808173,Barham Salih,2018,
Asia,Iraq,Q1476165,Prime Minister of Iraq,Q85317569,Mustafa Al-Kadhimi,2020,
Asia,Israel,Q327948,President of Israel,Q983258,Isaac Herzog,2021,
Asia,Israel,Q208487,Prime Minister of Israel,Q39318,Naftali Bennett,2021,
Asia,Japan,Q208233,Emperor of Japan,Q217096,Naruhito,2019,
Asia,Japan,Q274948,Prime Minister of Japan,Q359480,Fumio Kishida,2021,
Asia,Jordan,Q815910,King of Jordan,Q57464,Abdullah II of Jordan,1999,
Asia,Jordan,Q7243300,Prime Minister of Jordan,Q63441935,Bisher Al-Khasawneh,2020,
Asia,Kazakhstan,Q5256775,President of Kazakhstan,Q200881,Kassym-Jomart Tokayev,2019,
Asia,Kazakhstan,Q2416315,Prime Minister of Kazakhstan,Q527063,Askar Mamin,2019,2022
Asia,Kazakhstan,Q2416315,Prime Minister of Kazakhstan,Q56825894,Alihan Smaiylov,2022,
Asia,North Korea (Democratic People's Republic of Korea),Q707631,General Secretary of the Workers' Party of Korea,Q56226,Kim Jong-un,2012,
Asia,North Korea (Democratic People's Republic of Korea),Q25263528,State Affairs Commission of the DPRK,Q56226,Kim Jong-un,2011,
Asia,North Korea (Democratic People's Republic of Korea),Q30944956,Chairman of the Standing Committee of the Supreme People's Assembly,Q714509,Choe Ryong-hae,2019,
Asia,North Korea (Democratic People's Republic of Korea),Q7240364,Premier of North Korea,Q25035961,Kim Tok-hun,2020,
Asia,South Korea (Republic of Korea),Q6296418,President of South Korea,Q21001,Moon Jae-in,2017,
Asia,South Korea (Republic of Korea),Q15407843,Prime Minister of South Korea,Q12587534,Kim Boo-kyum,2021,
Asia,Kuwait,Q246932,Emir of Kuwait,Q641805,Nawaf Al-Ahmad Al-Jaber Al-Sabah,2020,
Asia,Kuwait,Q2035020,Prime Minister of Kuwait,Q12219691,Sabah Al-Khalid Al-Sabah,2019,
Asia,Kyrgyzstan,Q853036,President of Kyrgyzstan,Q25597826,Sadyr Japarov,2021,
Asia,Kyrgyzstan,Q2333371,Chairman of the Cabinet of Ministers of Kyrgyzstan,Q4060344,Akylbek Japarov,2021,
Asia,Laos,Q3849458,General Secretary of the Lao People's Revolutionary Party,Q58323,Thongloun Sisoulith,2021,
Asia,Laos,Q904139,President of Laos,Q58323,Thongloun Sisoulith,2021,
Asia,Laos,Q778651,Prime Minister of Laos,Q7180477,Phankham Viphavanh,2021,
Asia,Lebanon,Q22001564,President of Lebanon,Q363392,Michel Aoun,2016,
Asia,Lebanon,Q14915225,Prime Minister of Lebanon,Q318493,Najib Mikati,2021,
Asia,Malaysia,Q174156,Yang di-Pertuan Agong,Q15467111,Abdullah of Pahang,2019,
Asia,Malaysia,Q862559,Prime Minister of Malaysia,Q6084858,Ismail Sabri Yaakob,2021,
Asia,Maldives,Q1064606,President of the Maldives,Q55614252,Ibrahim Mohamed Solih,2018,
Asia,Mongolia,Q756265,President of Mongolia,Q27058418,Ukhnaagiin Khürelsükh,2021,
Asia,Mongolia,Q903751,Prime Minister of Mongolia,Q24248226,Luvsannamsrain Oyun-Erdene,2021,
Asia,Myanmar,Q105222391,Chairman of the State Administrative Council,Q3462649,Min Aung Hlaing,2021,
Asia,Myanmar,Q887124,President of Myanmar,Q3331362,Myint Swe,2021,
Asia,Myanmar,Q852152,Prime Minister of Myanmar,Q3462649,Min Aung Hlaing,2021,
Asia,Myanmar,Q887124,President of Myanmar,Q8023642,Win Myint,2021,
Asia,Myanmar,Q887124,President of Myanmar,Q106577395,Duwa Lashi La,2021,
Asia,Myanmar,Q23747483,State Counsellor of Myanmar,Q36740,Aung San Suu Kyi,2021,
Asia,Myanmar,Q852152,Prime Minister of Myanmar,Q22343041,Mahn Win Khaing Than,2021,
Asia,Nepal,Q153756,President of Nepal,Q16193958,Bidhya Devi Bhandari,2015,
Asia,Nepal,Q30100626,Prime Minister of Nepal,Q470903,Sher Bahadur Deuba,2021,
Asia,Oman,"",Sultan of Oman,Q12250314,Haitham bin Tariq,2020,
Asia,Oman,Q742996,Prime Minister of Oman,Q12250314,Haitham bin Tariq,2020,
Asia,Pakistan,Q473984,President of Pakistan,Q4790529,Arif Alvi,2018,
Asia,Pakistan,Q735575,Prime Minister of Pakistan,Q155164,Imran Khan,2018,
Asia,Palestine,Q3911022,President of the State of Palestine,Q127998,Mahmoud Abbas,2005,
Asia,Palestine,Q15041211,Prime Minister of the State of Palestine,Q16192933,Mohammad Shtayyeh,2019,
Asia,Philippines,Q1209571,President of the Philippines,Q457786,Rodrigo Duterte,2016,
Asia,Qatar,Q1649527,Emir of Qatar,Q1855372,Tamim bin Hamad Al Thani,2013,
Asia,Qatar,Q3245484,Prime Minister of Qatar,Q83849153,Khalid bin Khalifa bin Abdul Aziz Al Thani,2020,
Asia,Saudi Arabia,Q850168,King of Saudi Arabia,Q367825,Salman of Saudi Arabia,2015,
Asia,Saudi Arabia,Q1153839,Prime Minister of Saudi Arabia,Q367825,Salman of Saudi Arabia,2015,
Asia,Singapore,Q39021,President of Singapore,Q5642345,Halimah Yacob,2017,
Asia,Singapore,Q866756,Prime Minister of Singapore,Q57643,Lee Hsien Loong,2004,
Asia,Sri Lanka,Q2914380,President of Sri Lanka,Q1538702,Gotabaya Rajapaksa,2019,
